feature,mi_score,selected
feature_25,0.04328787436404902,True
feature_26,0.022515019169710104,True
feature_27,0.019802610920754304,True
feature_22,0.015391621484843743,True
feature_24,0.01002725605410415,True
feature_5,0.007519101156346242,True
feature_0,0.006229964328186011,True
feature_12,0.005458851035819556,True
feature_2,0.004870928044466316,True
feature_17,0.004675216500927837,True
feature_15,0.004308325824170733,True
feature_3,0.003775713290457672,True
feature_23,0.003128213523997836,True
feature_20,0.002355735307636664,True
feature_6,0.002120924770710353,True
feature_10,0.0020835586586922528,False
feature_8,0.002003152224599125,False
feature_19,0.001951322554123669,False
feature_16,0.0015155517093030646,False
feature_4,0.0014739996485180207,False
feature_18,0.0012730000237082262,False
feature_13,0.0010852255584568038,False
feature_9,0.0010532770697102567,False
feature_21,0.00030002666740314154,False
feature_7,0.0,False
feature_1,0.0,False
feature_11,0.0,False
feature_14,0.0,False
